Model,MSE,RMSE,MAE,QLIKE,R2,DA
GARCH,4.306855140816442e-06,0.0020752963983046956,0.0007626231477997628,1.0581837578147844,-14.485258052663182,0.5033797292408462
XGBoost,1.0760884767780584e-07,0.00032803787537082643,0.00018516838244677858,0.3210068627350308,0.6130933777529695,0.37717778327843254
LSTM_seq120_attn,9.63474894080054e-08,0.00031039891979194354,0.00016898564999901473,0.3971799181855149,0.5399567837140529,0.4951332913832539
LSTM_seq120_noattn,1.1626774858816965e-07,0.00034098056922377505,0.0001931988500889677,0.32823643276013775,0.5822416266191257,0.49331094104849327
LSTM_seq240_attn,1.1930676820253267e-07,0.000345408118321693,0.00018579159864908984,0.3696095539990087,0.5716827694891746,0.49360163736873314
LSTM_seq240_noattn,1.2036890115826027e-07,0.00034694221587788977,0.00018515487810191392,0.34453959527594163,0.5678696593623522,0.4936398936475449
LSTM_seq60_attn,1.1125306209317134e-07,0.0003335461918433058,0.00018094012141885353,0.34499727514275685,0.6000200010728435,0.4900779656493643
LSTM_seq60_noattn,1.1209129817682751e-07,0.0003348003855685168,0.00018088901907300286,0.3416892830097017,0.5970063521760545,0.4922701538344231
LSTM_tfm_full_seq120,1.0026120609924539e-07,0.00031664049977734275,0.0001736982253349748,0.41958510863006854,0.5212694383007697,0.4951732438398306
LSTM_tfm_full_seq240,1.0836083806473127e-07,0.0003291820743368801,0.0001807880742542131,0.4569854105256497,0.4827290840709496,0.49503441936676357
LSTM_tfm_small_seq120,9.833201206980688e-08,0.00031357935529911226,0.0001720115599218705,0.4262480982231872,0.5304810185048388,0.4954079645222186
LSTM_tfm_small_seq240,9.876585446065757e-08,0.00031427035250029166,0.00017246217948750032,0.39461953376227754,0.5285316640974955,0.49454985063293666
