feature,importance
ret_std_30,0.32748634
ret_std_10,0.17067118
ret_std_60,0.1361726
parkinson_30,0.07048771
garman_klass_10,0.054196943
parkinson_5,0.036854796
parkinson_10,0.031934787
bollinger_width,0.020473706
parkinson_60,0.013288716
garman_klass_5,0.012783611
ret_min_60,0.010313805
ret_std_5,0.007360126
ret_min_10,0.0065510767
obv,0.0061182906
ret_min_30,0.005949101
ret_min_5,0.0058247275
ret_mean_60,0.0050639994
ret_mean_10,0.0048325765
lag_1,0.0045922417
ret_mean_5,0.0043625194
ret_max_5,0.004331579
ret_mean_30,0.004308644
ret_max_60,0.003568559
ret_max_30,0.003526176
ret_kurt_60,0.0035126752
taker_ratio,0.0033262626
volume_ratio_60,0.003278968
ret_max_10,0.003275553
ret_skew_60,0.0031216412
log_return,0.0031018404
garman_klass_30,0.0030919837
volume_ratio_30,0.0030368448
hour_sin,0.0028103685
atr,0.0027389587
ret_kurt_5,0.002513755
garman_klass_60,0.002456231
ret_kurt_10,0.0022957735
hour_cos,0.0022685323
volume_ratio_10,0.0021608134
ret_skew_30,0.0021249526
lag_2,0.0020169837
ret_skew_10,0.0018140934
ret_kurt_30,0.0
ret_skew_5,0.0
lag_4,0.0
lag_3,0.0
lag_5,0.0
lag_6,0.0
lag_8,0.0
lag_7,0.0
lag_10,0.0
lag_9,0.0
